Date,Price
01-07-2019,58.91
02-07-2019,56
03-07-2019,57.06
08-07-2019,57.35
09-07-2019,57.57
10-07-2019,60.28
11-07-2019,59.93
12-07-2019,59.99
15-07-2019,59.3
16-07-2019,57.44
17-07-2019,56.5
18-07-2019,55.08
19-07-2019,55.42
22-07-2019,55.87
23-07-2019,56.58
24-07-2019,55.9
25-07-2019,55.88
26-07-2019,56.04
29-07-2019,56.85
30-07-2019,58.04
31-07-2019,58.53
01-08-2019,53.64
02-08-2019,55.67
05-08-2019,54.63
06-08-2019,53.6
07-08-2019,51.14
08-08-2019,52.6
09-08-2019,54.41
12-08-2019,54.98
13-08-2019,57.05
14-08-2019,55.16
15-08-2019,54.51
16-08-2019,54.83
19-08-2019,56.24
20-08-2019,56.18
21-08-2019,55.65
22-08-2019,55.33
23-08-2019,54.08
26-08-2019,53.54
27-08-2019,54.99
28-08-2019,55.76
29-08-2019,56.67
30-08-2019,55.07
03-09-2019,53.91
04-09-2019,56.22
05-09-2019,56.33
06-09-2019,56.45
09-09-2019,57.88
10-09-2019,57.37
11-09-2019,55.66
12-09-2019,55.13
13-09-2019,54.76
16-09-2019,63.1
17-09-2019,59.26
18-09-2019,58.19
19-09-2019,58.19
20-09-2019,57.92
23-09-2019,58.69
24-09-2019,57.22
25-09-2019,56.38
26-09-2019,56.24
27-09-2019,55.95
30-09-2019,54.09
01-10-2019,53.6
02-10-2019,52.67
03-10-2019,52.41
04-10-2019,52.84
07-10-2019,52.76
08-10-2019,52.64
09-10-2019,52.63
10-10-2019,53.57
11-10-2019,54.76
14-10-2019,53.57
15-10-2019,52.81
16-10-2019,53.42
17-10-2019,53.89
18-10-2019,53.75
21-10-2019,53.28
22-10-2019,54.21
23-10-2019,55.9
24-10-2019,56.11
25-10-2019,56.52
28-10-2019,55.6
29-10-2019,55.34
30-10-2019,54.85
31-10-2019,54.02
01-11-2019,56.04
04-11-2019,56.33
05-11-2019,57.04
06-11-2019,56.15
07-11-2019,56.91
08-11-2019,57.02
12-11-2019,56.67
13-11-2019,56.88
14-11-2019,56.57
15-11-2019,57.54
18-11-2019,56.82
19-11-2019,54.93
20-11-2019,56.71
21-11-2019,58.36
22-11-2019,57.68
25-11-2019,57.79
26-11-2019,58.25
